no.    acc    apl
0    0.593    6.96
1    0.592    6.934
2    0.591    6.751
3    0.591    6.561
4    0.59    6.273
5    0.59    6.071
6    0.589    6.047
7    0.589    6.026
8    0.589    5.992
9    0.589    5.912
10    0.589    5.759
11    0.588    5.749
12    0.588    5.731
13    0.588    5.431
14    0.588    5.36
15    0.587    5.036
16    0.587    5.008
17    0.587    5.008
18    0.587    4.915
19    0.587    4.882
20    0.587    4.84
21    0.587    4.615
22    0.586    4.545
23    0.586    4.524
24    0.586    4.505
25    0.586    4.402
26    0.585    4.341
27    0.585    4.341
28    0.585    4.334
29    0.585    4.286
30    0.585    4.286
31    0.585    4.286
32    0.585    4.286
33    0.585    4.255
34    0.585    4.255
35    0.585    4.255
36    0.585    4.255
37    0.585    4.252
38    0.585    4.172
39    0.585    4.148
40    0.585    4.1
41    0.584    4.077
42    0.584    4.077
43    0.584    4.062
44    0.584    4.062
45    0.584    4.045
46    0.584    4.001
47    0.584    4.001
48    0.584    4.001
49    0.584    4.001
50    0.584    4.001
51    0.584    4.001
52    0.584    3.997
53    0.584    3.997
54    0.584    3.997
55    0.584    3.99
56    0.584    3.97
57    0.583    3.92
58    0.583    3.916
59    0.583    3.909
60    0.582    3.904
61    0.582    3.882
62    0.582    3.87
63    0.582    3.862
64    0.582    3.862
65    0.582    3.862
66    0.582    3.862
67    0.582    3.818
68    0.582    3.767
69    0.582    3.767
70    0.581    3.76
71    0.581    3.76
72    0.582    3.749
73    0.582    3.749
74    0.582    3.749
75    0.582    3.749
76    0.582    3.749
77    0.581    3.745
78    0.581    3.726
79    0.581    3.718
80    0.581    3.714
81    0.581    3.714
82    0.581    3.705
83    0.581    3.679
84    0.58    3.675
85    0.58    3.667
86    0.58    3.654
87    0.58    3.654
88    0.58    3.646
89    0.58    3.646
90    0.58    3.646
91    0.58    3.642
92    0.58    3.642
93    0.58    3.642
94    0.58    3.642
95    0.58    3.631
96    0.58    3.623
97    0.58    3.619
98    0.58    3.619
99    0.58    3.619
100    0.58    3.611
101    0.58    3.611
102    0.58    3.611
103    0.58    3.611
104    0.58    3.611
105    0.58    3.611
106    0.579    3.607
107    0.579    3.607
108    0.579    3.592
109    0.579    3.592
110    0.579    3.579
111    0.579    3.579
112    0.579    3.575
113    0.579    3.575
114    0.579    3.571
115    0.579    3.571
116    0.579    3.571
117    0.579    3.571
118    0.579    3.567
119    0.579    3.562
120    0.579    3.554
121    0.579    3.554
122    0.579    3.554
123    0.579    3.554
124    0.579    3.554
125    0.579    3.554
126    0.579    3.546
127    0.579    3.527
128    0.579    3.527
129    0.579    3.523
130    0.579    3.523
131    0.579    3.523
132    0.579    3.523
133    0.579    3.523
134    0.579    3.519
135    0.579    3.519
136    0.579    3.519
137    0.579    3.519
138    0.579    3.515
139    0.579    3.515
140    0.579    3.499
141    0.579    3.495
142    0.579    3.495
143    0.579    3.495
144    0.578    3.478
145    0.579    3.474
146    0.579    3.474
147    0.579    3.474
148    0.579    3.474
149    0.579    3.469
150    0.579    3.469
151    0.579    3.469
152    0.578    3.465
153    0.578    3.465
154    0.578    3.465
155    0.578    3.465
156    0.578    3.457
157    0.578    3.457
158    0.578    3.457
159    0.578    3.452
160    0.578    3.452
161    0.578    3.452
162    0.577    3.411
163    0.577    3.407
164    0.577    3.407
165    0.577    3.407
166    0.577    3.402
167    0.577    3.402
168    0.577    3.402
169    0.577    3.391
170    0.577    3.391
171    0.577    3.387
172    0.577    3.387
173    0.577    3.383
174    0.577    3.383
175    0.577    3.383
176    0.577    3.383
177    0.577    3.379
178    0.577    3.379
179    0.577    3.379
180    0.577    3.379
181    0.577    3.379
182    0.577    3.374
183    0.577    3.374
184    0.577    3.366
185    0.577    3.366
186    0.577    3.366
187    0.577    3.366
188    0.577    3.366
189    0.577    3.366
190    0.577    3.366
191    0.577    3.366
192    0.577    3.366
193    0.577    3.366
194    0.577    3.366
195    0.577    3.366
196    0.577    3.366
197    0.577    3.362
198    0.577    3.362
199    0.577    3.362
200    0.577    3.362
