no.    acc    apl
0    0.593    6.96
1    0.592    6.897
2    0.591    6.566
3    0.59    6.327
4    0.59    6.283
5    0.59    5.947
6    0.589    5.904
7    0.589    5.896
8    0.589    5.598
9    0.588    5.561
10    0.588    5.389
11    0.588    5.341
12    0.588    5.073
13    0.587    5.018
14    0.587    4.999
15    0.587    4.945
16    0.586    4.894
17    0.586    4.824
18    0.586    4.774
19    0.586    4.746
20    0.586    4.614
21    0.586    4.614
22    0.585    4.496
23    0.585    4.48
24    0.585    4.47
25    0.585    4.394
26    0.585    4.369
27    0.585    4.316
28    0.584    4.289
29    0.584    4.198
30    0.583    4.188
31    0.583    4.188
32    0.583    4.148
33    0.583    4.137
34    0.583    4.128
35    0.583    4.106
36    0.583    4.102
37    0.583    4.097
38    0.582    4.09
39    0.582    4.09
40    0.582    4.076
41    0.582    4.066
42    0.582    4.062
43    0.582    4.057
44    0.582    4.048
45    0.582    4.038
46    0.582    4.019
47    0.581    4.007
48    0.581    4.002
49    0.581    3.999
50    0.581    3.97
51    0.581    3.962
52    0.58    3.939
53    0.58    3.899
54    0.58    3.899
55    0.58    3.864
56    0.579    3.857
57    0.579    3.852
58    0.579    3.848
59    0.579    3.848
60    0.579    3.844
61    0.579    3.844
62    0.579    3.844
63    0.579    3.82
64    0.579    3.816
65    0.579    3.812
66    0.579    3.812
67    0.579    3.783
68    0.579    3.783
69    0.579    3.783
70    0.579    3.778
71    0.579    3.747
72    0.579    3.747
73    0.579    3.747
74    0.579    3.747
75    0.579    3.747
76    0.578    3.743
77    0.578    3.743
78    0.578    3.743
79    0.578    3.658
80    0.578    3.651
81    0.578    3.642
82    0.578    3.642
83    0.578    3.642
84    0.578    3.642
85    0.578    3.642
86    0.578    3.642
87    0.578    3.642
88    0.578    3.642
89    0.577    3.614
90    0.577    3.61
91    0.577    3.606
92    0.577    3.606
93    0.577    3.606
94    0.577    3.602
95    0.577    3.591
96    0.577    3.591
97    0.577    3.591
98    0.577    3.591
99    0.577    3.591
100    0.577    3.591
101    0.577    3.591
102    0.577    3.591
103    0.577    3.591
104    0.577    3.591
105    0.577    3.591
106    0.577    3.591
107    0.577    3.587
108    0.577    3.587
109    0.577    3.587
110    0.577    3.587
111    0.577    3.58
112    0.577    3.58
113    0.577    3.555
114    0.577    3.555
115    0.577    3.551
116    0.577    3.551
117    0.577    3.551
118    0.577    3.551
119    0.577    3.551
120    0.577    3.551
121    0.577    3.551
122    0.577    3.551
123    0.577    3.551
124    0.577    3.551
125    0.577    3.551
126    0.576    3.546
127    0.576    3.546
128    0.576    3.546
129    0.576    3.546
130    0.576    3.546
131    0.576    3.546
132    0.576    3.546
133    0.576    3.546
134    0.576    3.542
135    0.576    3.542
136    0.576    3.542
137    0.576    3.542
138    0.576    3.542
139    0.576    3.533
140    0.576    3.533
141    0.576    3.533
142    0.576    3.529
143    0.576    3.529
144    0.576    3.529
145    0.576    3.529
146    0.576    3.529
147    0.576    3.529
148    0.576    3.529
149    0.576    3.529
150    0.576    3.529
151    0.576    3.525
152    0.576    3.525
153    0.576    3.525
154    0.576    3.521
155    0.576    3.516
156    0.576    3.516
157    0.576    3.512
158    0.576    3.512
159    0.576    3.512
160    0.576    3.508
161    0.576    3.508
162    0.576    3.504
163    0.576    3.504
164    0.576    3.504
165    0.576    3.504
166    0.576    3.491
167    0.576    3.491
168    0.576    3.491
169    0.576    3.491
170    0.576    3.491
171    0.576    3.491
172    0.576    3.491
173    0.576    3.491
174    0.576    3.491
175    0.576    3.491
176    0.576    3.491
177    0.576    3.475
178    0.576    3.47
179    0.576    3.47
180    0.576    3.47
181    0.576    3.47
182    0.576    3.47
183    0.575    3.462
184    0.575    3.462
185    0.575    3.462
186    0.575    3.458
187    0.575    3.458
188    0.575    3.458
189    0.575    3.458
190    0.575    3.458
191    0.575    3.458
192    0.575    3.447
193    0.575    3.447
194    0.575    3.447
195    0.575    3.447
196    0.575    3.447
197    0.575    3.447
198    0.575    3.443
199    0.575    3.443
200    0.575    3.443
