no.    acc    apl
0    0.593    6.96
1    0.593    6.631
2    0.592    6.406
3    0.592    6.321
4    0.591    6.263
5    0.591    6.251
6    0.59    6.08
7    0.59    5.939
8    0.589    5.623
9    0.589    5.509
10    0.589    5.509
11    0.588    5.332
12    0.588    5.237
13    0.587    5.205
14    0.587    5.179
15    0.586    5.12
16    0.585    5.093
17    0.585    5.073
18    0.585    5.033
19    0.584    5.008
20    0.584    4.988
21    0.583    4.947
22    0.583    4.939
23    0.582    4.908
24    0.582    4.828
25    0.582    4.803
26    0.581    4.784
27    0.581    4.741
28    0.58    4.732
29    0.58    4.719
30    0.579    4.702
31    0.579    4.702
32    0.578    4.67
33    0.578    4.67
34    0.578    4.667
35    0.578    4.595
36    0.577    4.574
37    0.577    4.574
38    0.577    4.545
39    0.576    4.518
40    0.576    4.518
41    0.576    4.518
42    0.576    4.513
43    0.576    4.513
44    0.576    4.512
45    0.575    4.502
46    0.575    4.501
47    0.575    4.501
48    0.574    4.485
49    0.574    4.448
50    0.574    4.448
51    0.574    4.448
52    0.573    4.444
53    0.573    4.438
54    0.573    4.438
55    0.572    4.413
56    0.572    4.386
57    0.572    4.386
58    0.572    4.364
59    0.571    4.357
60    0.57    4.332
61    0.57    4.31
62    0.57    4.292
63    0.569    4.275
64    0.569    4.272
65    0.569    4.248
66    0.568    4.241
67    0.568    4.211
68    0.568    4.211
69    0.567    4.207
70    0.567    4.174
71    0.567    4.154
72    0.566    4.126
73    0.566    4.126
74    0.566    4.114
75    0.566    4.11
76    0.565    4.097
77    0.564    4.083
78    0.564    4.083
79    0.564    4.075
80    0.564    4.062
81    0.563    4.051
82    0.563    4.051
83    0.563    4.043
84    0.562    4.03
85    0.562    4.03
86    0.562    4.022
87    0.562    4.022
88    0.562    4.022
89    0.562    4.022
90    0.561    4.008
91    0.561    4.008
92    0.561    4.002
93    0.561    3.996
94    0.561    3.996
95    0.56    3.993
96    0.56    3.993
97    0.56    3.993
98    0.56    3.99
99    0.559    3.979
100    0.559    3.976
101    0.558    3.973
102    0.558    3.973
103    0.558    3.967
104    0.558    3.959
105    0.558    3.959
106    0.558    3.959
107    0.558    3.959
108    0.557    3.955
109    0.557    3.955
110    0.557    3.947
111    0.557    3.943
112    0.557    3.943
113    0.556    3.937
114    0.555    3.931
115    0.555    3.931
116    0.555    3.931
117    0.555    3.931
118    0.555    3.931
119    0.555    3.931
120    0.555    3.926
121    0.555    3.926
122    0.555    3.926
123    0.555    3.926
124    0.555    3.926
125    0.555    3.926
126    0.554    3.917
127    0.554    3.917
128    0.554    3.917
129    0.554    3.917
130    0.554    3.917
131    0.554    3.917
132    0.554    3.917
133    0.554    3.902
134    0.554    3.902
135    0.554    3.902
136    0.554    3.902
137    0.554    3.902
138    0.554    3.902
139    0.554    3.902
140    0.554    3.902
141    0.554    3.902
142    0.554    3.902
143    0.554    3.902
144    0.554    3.902
145    0.554    3.902
146    0.554    3.902
147    0.554    3.902
148    0.554    3.902
149    0.554    3.902
150    0.554    3.902
151    0.554    3.902
152    0.554    3.902
153    0.554    3.902
154    0.554    3.902
155    0.554    3.902
156    0.554    3.902
157    0.554    3.902
158    0.554    3.902
159    0.554    3.902
160    0.554    3.902
161    0.554    3.902
162    0.554    3.902
163    0.554    3.902
164    0.554    3.902
165    0.554    3.902
166    0.554    3.902
167    0.554    3.902
168    0.554    3.902
169    0.554    3.902
170    0.554    3.902
171    0.554    3.902
172    0.554    3.902
173    0.554    3.902
174    0.554    3.902
175    0.554    3.902
176    0.554    3.902
177    0.554    3.902
178    0.554    3.902
179    0.554    3.902
180    0.554    3.902
181    0.554    3.902
182    0.554    3.902
183    0.554    3.902
184    0.554    3.902
185    0.554    3.902
186    0.554    3.902
187    0.554    3.902
188    0.554    3.902
189    0.554    3.902
190    0.554    3.902
191    0.554    3.902
192    0.554    3.902
193    0.554    3.902
194    0.553    3.894
195    0.553    3.894
196    0.553    3.894
197    0.553    3.894
198    0.553    3.894
199    0.553    3.894
200    0.553    3.894
