no.    acc    apl
0    0.592    6.984
1    0.591    6.97
2    0.59    6.88
3    0.589    6.283
4    0.589    5.894
5    0.589    5.881
6    0.588    5.723
7    0.588    5.696
8    0.588    5.696
9    0.588    5.647
10    0.588    5.549
11    0.588    5.206
12    0.588    5.153
13    0.587    5.126
14    0.587    5.022
15    0.587    5.008
16    0.587    4.947
17    0.586    4.916
18    0.586    4.774
19    0.586    4.756
20    0.586    4.714
21    0.586    4.68
22    0.585    4.651
23    0.585    4.638
24    0.585    4.611
25    0.585    4.584
26    0.585    4.571
27    0.585    4.547
28    0.585    4.544
29    0.585    4.54
30    0.584    4.536
31    0.584    4.446
32    0.584    4.403
33    0.584    4.403
34    0.584    4.395
35    0.584    4.328
36    0.584    4.312
37    0.583    4.216
38    0.583    4.148
39    0.583    4.148
40    0.583    4.148
41    0.583    4.122
42    0.583    4.096
43    0.583    4.096
44    0.583    4.096
45    0.583    4.096
46    0.583    4.096
47    0.582    4.081
48    0.582    4.081
49    0.582    4.081
50    0.582    4.077
51    0.58    4.068
52    0.58    4.068
53    0.58    4.034
54    0.58    4.034
55    0.58    4.034
56    0.58    3.97
57    0.579    3.92
58    0.579    3.882
59    0.579    3.882
60    0.579    3.878
61    0.579    3.878
62    0.579    3.878
63    0.579    3.85
64    0.579    3.824
65    0.579    3.824
66    0.579    3.824
67    0.579    3.816
68    0.578    3.808
69    0.578    3.808
70    0.578    3.808
71    0.578    3.808
72    0.578    3.801
73    0.578    3.783
74    0.578    3.783
75    0.578    3.783
76    0.578    3.783
77    0.578    3.773
78    0.578    3.773
79    0.578    3.773
80    0.578    3.762
81    0.578    3.762
82    0.578    3.762
83    0.578    3.762
84    0.578    3.762
85    0.578    3.762
86    0.578    3.762
87    0.578    3.758
88    0.578    3.754
89    0.578    3.754
90    0.578    3.739
91    0.578    3.723
92    0.578    3.72
93    0.578    3.715
94    0.578    3.715
95    0.578    3.715
96    0.578    3.715
97    0.578    3.715
98    0.578    3.715
99    0.578    3.715
100    0.578    3.715
101    0.578    3.715
102    0.578    3.715
103    0.577    3.707
104    0.577    3.707
105    0.577    3.707
106    0.577    3.707
107    0.577    3.707
108    0.577    3.707
109    0.577    3.707
110    0.577    3.702
111    0.577    3.695
112    0.577    3.695
113    0.577    3.695
114    0.577    3.688
115    0.577    3.688
116    0.577    3.688
117    0.577    3.688
118    0.577    3.688
119    0.577    3.675
120    0.577    3.675
121    0.577    3.675
122    0.577    3.675
123    0.577    3.675
124    0.577    3.675
125    0.577    3.675
126    0.576    3.666
127    0.576    3.666
128    0.577    3.662
129    0.577    3.662
130    0.577    3.662
131    0.577    3.662
132    0.577    3.662
133    0.577    3.662
134    0.577    3.662
135    0.577    3.662
136    0.577    3.662
137    0.577    3.662
138    0.577    3.662
139    0.577    3.662
140    0.577    3.662
141    0.577    3.662
142    0.577    3.662
143    0.577    3.662
144    0.577    3.662
145    0.577    3.662
146    0.577    3.662
147    0.577    3.662
148    0.577    3.662
149    0.577    3.662
150    0.577    3.662
151    0.577    3.662
152    0.577    3.662
153    0.577    3.662
154    0.577    3.662
155    0.577    3.662
156    0.577    3.662
157    0.577    3.662
158    0.577    3.662
159    0.577    3.662
160    0.577    3.662
161    0.577    3.662
162    0.577    3.662
163    0.577    3.662
164    0.577    3.662
165    0.577    3.662
166    0.577    3.662
167    0.577    3.662
168    0.577    3.662
169    0.577    3.662
170    0.577    3.662
171    0.577    3.662
172    0.577    3.662
173    0.577    3.662
174    0.577    3.662
175    0.577    3.662
176    0.577    3.662
177    0.577    3.662
178    0.577    3.662
179    0.577    3.662
180    0.577    3.662
181    0.577    3.662
182    0.577    3.662
183    0.577    3.662
184    0.577    3.662
185    0.577    3.662
186    0.577    3.662
187    0.577    3.662
188    0.577    3.662
189    0.577    3.662
190    0.577    3.662
191    0.577    3.662
192    0.577    3.662
193    0.577    3.662
194    0.577    3.662
195    0.577    3.662
196    0.577    3.662
197    0.577    3.662
198    0.577    3.662
199    0.577    3.662
200    0.577    3.662
