no.    acc    apl
0    0.593    6.96
1    0.593    6.937
2    0.593    6.925
3    0.592    6.651
4    0.591    6.536
5    0.591    6.192
6    0.59    6.13
7    0.59    6.124
8    0.59    5.853
9    0.589    5.743
10    0.588    5.675
11    0.587    5.57
12    0.587    5.538
13    0.586    5.515
14    0.585    5.454
15    0.585    5.305
16    0.585    5.21
17    0.584    5.198
18    0.583    5.084
19    0.583    5.037
20    0.582    4.989
21    0.582    4.941
22    0.581    4.874
23    0.581    4.868
24    0.58    4.85
25    0.58    4.85
26    0.579    4.84
27    0.578    4.824
28    0.578    4.824
29    0.578    4.81
30    0.578    4.808
31    0.577    4.771
32    0.576    4.765
33    0.576    4.736
34    0.575    4.71
35    0.575    4.703
36    0.575    4.684
37    0.574    4.643
38    0.573    4.634
39    0.573    4.586
40    0.572    4.527
41    0.572    4.499
42    0.571    4.495
43    0.571    4.484
44    0.571    4.453
45    0.57    4.45
46    0.569    4.443
47    0.569    4.434
48    0.569    4.406
49    0.568    4.395
50    0.568    4.385
51    0.567    4.362
52    0.567    4.357
53    0.566    4.315
54    0.565    4.299
55    0.564    4.291
56    0.564    4.268
57    0.563    4.243
58    0.563    4.221
59    0.563    4.208
60    0.562    4.184
61    0.562    4.166
62    0.561    4.156
63    0.561    4.145
64    0.56    4.132
65    0.56    4.123
66    0.56    4.111
67    0.559    4.11
68    0.559    4.097
69    0.558    4.096
70    0.558    4.092
71    0.557    4.084
72    0.557    4.072
73    0.556    4.058
74    0.556    4.045
75    0.555    4.042
76    0.555    4.036
77    0.555    4.029
78    0.554    4.026
79    0.554    4.01
80    0.553    3.995
81    0.553    3.979
82    0.553    3.97
83    0.552    3.964
84    0.552    3.961
85    0.551    3.956
86    0.551    3.948
87    0.55    3.933
88    0.55    3.922
89    0.549    3.912
90    0.548    3.906
91    0.548    3.899
92    0.547    3.891
93    0.546    3.887
94    0.546    3.881
95    0.545    3.877
96    0.545    3.87
97    0.545    3.865
98    0.544    3.858
99    0.544    3.853
100    0.543    3.843
101    0.543    3.839
102    0.542    3.833
103    0.541    3.827
104    0.541    3.823
105    0.541    3.812
106    0.54    3.804
107    0.54    3.802
108    0.539    3.79
109    0.539    3.784
110    0.538    3.781
111    0.538    3.772
112    0.537    3.763
113    0.537    3.762
114    0.536    3.758
115    0.536    3.75
116    0.535    3.744
117    0.534    3.74
118    0.534    3.734
119    0.533    3.73
120    0.533    3.725
121    0.532    3.714
122    0.532    3.707
123    0.531    3.697
124    0.531    3.697
125    0.531    3.693
126    0.53    3.688
127    0.53    3.682
128    0.529    3.679
129    0.529    3.675
130    0.528    3.666
131    0.528    3.665
132    0.527    3.661
133    0.526    3.657
134    0.526    3.652
135    0.525    3.649
136    0.525    3.645
137    0.524    3.641
138    0.524    3.636
139    0.523    3.631
140    0.523    3.63
141    0.522    3.629
142    0.522    3.626
143    0.522    3.621
144    0.521    3.617
145    0.521    3.615
146    0.521    3.615
147    0.52    3.607
148    0.52    3.604
149    0.519    3.598
150    0.519    3.594
151    0.518    3.592
152    0.518    3.59
153    0.518    3.585
154    0.517    3.582
155    0.517    3.58
156    0.517    3.579
157    0.516    3.576
158    0.516    3.572
159    0.515    3.568
160    0.515    3.565
161    0.514    3.564
162    0.514    3.561
163    0.513    3.554
164    0.513    3.55
165    0.512    3.549
166    0.512    3.541
167    0.512    3.537
168    0.511    3.534
169    0.511    3.531
170    0.51    3.525
171    0.51    3.524
172    0.51    3.523
173    0.509    3.521
174    0.509    3.515
175    0.508    3.512
176    0.508    3.509
177    0.508    3.506
178    0.507    3.503
179    0.507    3.501
180    0.506    3.499
181    0.506    3.494
182    0.506    3.49
183    0.505    3.485
184    0.505    3.482
185    0.504    3.48
186    0.504    3.478
187    0.503    3.477
188    0.503    3.47
189    0.503    3.468
190    0.502    3.464
191    0.502    3.463
192    0.502    3.463
193    0.502    3.462
194    0.501    3.457
195    0.501    3.456
196    0.5    3.45
197    0.5    3.447
198    0.5    3.444
199    0.5    3.442
200    0.499    3.437
