no.    acc    apl
0    0.592    6.984
1    0.592    6.926
2    0.591    6.849
3    0.59    6.534
4    0.59    6.23
5    0.589    5.993
6    0.588    5.811
7    0.588    5.762
8    0.587    5.605
9    0.586    5.527
10    0.586    5.456
11    0.585    5.383
12    0.585    5.287
13    0.584    5.194
14    0.584    5.158
15    0.583    5.081
16    0.583    5.017
17    0.583    5.012
18    0.583    4.989
19    0.582    4.967
20    0.582    4.918
21    0.581    4.895
22    0.581    4.815
23    0.58    4.802
24    0.579    4.767
25    0.578    4.752
26    0.578    4.746
27    0.577    4.672
28    0.577    4.658
29    0.577    4.607
30    0.576    4.591
31    0.576    4.591
32    0.576    4.573
33    0.575    4.552
34    0.575    4.523
35    0.574    4.516
36    0.574    4.498
37    0.574    4.472
38    0.573    4.445
39    0.573    4.427
40    0.572    4.397
41    0.572    4.397
42    0.572    4.368
43    0.571    4.351
44    0.571    4.34
45    0.57    4.325
46    0.57    4.316
47    0.569    4.297
48    0.569    4.269
49    0.568    4.253
50    0.568    4.248
51    0.567    4.233
52    0.567    4.221
53    0.566    4.211
54    0.566    4.2
55    0.565    4.194
56    0.565    4.189
57    0.564    4.173
58    0.564    4.164
59    0.563    4.159
60    0.563    4.157
61    0.562    4.148
62    0.562    4.133
63    0.561    4.116
64    0.56    4.113
65    0.559    4.11
66    0.559    4.104
67    0.558    4.088
68    0.558    4.079
69    0.557    4.07
70    0.557    4.058
71    0.556    4.046
72    0.556    4.034
73    0.555    4.012
74    0.555    4.005
75    0.555    3.994
76    0.554    3.985
77    0.554    3.984
78    0.553    3.974
79    0.553    3.955
80    0.553    3.939
81    0.552    3.932
82    0.551    3.924
83    0.551    3.906
84    0.551    3.884
85    0.55    3.875
86    0.549    3.869
87    0.549    3.865
88    0.548    3.861
89    0.548    3.853
90    0.547    3.838
91    0.546    3.837
92    0.546    3.833
93    0.545    3.829
94    0.545    3.826
95    0.544    3.811
96    0.544    3.805
97    0.544    3.793
98    0.543    3.789
99    0.543    3.784
100    0.543    3.784
101    0.542    3.783
102    0.542    3.779
103    0.541    3.774
104    0.541    3.769
105    0.54    3.761
106    0.54    3.753
107    0.539    3.748
108    0.539    3.74
109    0.539    3.735
110    0.538    3.732
111    0.538    3.723
112    0.538    3.713
113    0.537    3.709
114    0.537    3.705
115    0.536    3.7
116    0.536    3.695
117    0.536    3.69
118    0.536    3.69
119    0.535    3.684
120    0.535    3.68
121    0.533    3.678
122    0.533    3.671
123    0.532    3.668
124    0.532    3.662
125    0.532    3.659
126    0.532    3.659
127    0.531    3.655
128    0.53    3.652
129    0.53    3.643
130    0.53    3.643
131    0.529    3.64
132    0.529    3.633
133    0.529    3.624
134    0.528    3.622
135    0.528    3.622
136    0.528    3.622
137    0.527    3.618
138    0.527    3.618
139    0.527    3.61
140    0.527    3.606
141    0.526    3.603
142    0.526    3.599
143    0.526    3.596
144    0.525    3.593
145    0.525    3.59
146    0.524    3.587
147    0.524    3.583
148    0.523    3.576
149    0.523    3.572
150    0.523    3.572
151    0.523    3.572
152    0.522    3.568
153    0.522    3.568
154    0.522    3.568
155    0.522    3.559
156    0.522    3.554
157    0.522    3.554
158    0.522    3.554
159    0.521    3.55
160    0.521    3.548
161    0.52    3.546
162    0.52    3.542
163    0.519    3.536
164    0.519    3.533
165    0.519    3.529
166    0.519    3.529
167    0.518    3.527
168    0.518    3.524
169    0.518    3.52
170    0.517    3.513
171    0.517    3.51
172    0.516    3.504
173    0.515    3.501
174    0.515    3.498
175    0.514    3.49
176    0.514    3.489
177    0.513    3.486
178    0.513    3.486
179    0.513    3.485
180    0.513    3.485
181    0.512    3.483
182    0.511    3.479
183    0.511    3.477
184    0.51    3.473
185    0.51    3.473
186    0.51    3.471
187    0.51    3.468
188    0.51    3.468
189    0.509    3.461
190    0.509    3.458
191    0.508    3.457
192    0.508    3.453
193    0.507    3.448
194    0.507    3.448
195    0.507    3.448
196    0.507    3.445
197    0.507    3.445
198    0.506    3.443
199    0.506    3.443
200    0.506    3.438
