no.    acc    apl
0    0.592    6.984
1    0.592    6.756
2    0.592    6.752
3    0.591    6.542
4    0.59    6.511
5    0.59    5.964
6    0.589    5.949
7    0.588    5.851
8    0.588    5.816
9    0.587    5.637
10    0.587    5.637
11    0.587    5.444
12    0.586    5.392
13    0.585    5.312
14    0.584    5.26
15    0.584    5.234
16    0.583    5.189
17    0.583    5.106
18    0.582    5.073
19    0.581    5.06
20    0.581    4.992
21    0.581    4.939
22    0.58    4.893
23    0.58    4.828
24    0.579    4.819
25    0.579    4.813
26    0.578    4.797
27    0.578    4.767
28    0.577    4.715
29    0.576    4.691
30    0.576    4.68
31    0.575    4.67
32    0.575    4.586
33    0.573    4.579
34    0.573    4.564
35    0.573    4.515
36    0.572    4.501
37    0.572    4.484
38    0.571    4.463
39    0.571    4.45
40    0.57    4.417
41    0.57    4.402
42    0.57    4.396
43    0.569    4.369
44    0.569    4.362
45    0.567    4.313
46    0.567    4.301
47    0.566    4.294
48    0.566    4.271
49    0.566    4.261
50    0.565    4.234
51    0.564    4.22
52    0.564    4.18
53    0.563    4.173
54    0.563    4.168
55    0.562    4.166
56    0.562    4.163
57    0.561    4.15
58    0.561    4.14
59    0.561    4.136
60    0.56    4.131
61    0.56    4.123
62    0.559    4.116
63    0.559    4.108
64    0.559    4.092
65    0.558    4.09
66    0.558    4.084
67    0.557    4.077
68    0.557    4.072
69    0.556    4.062
70    0.556    4.056
71    0.555    4.05
72    0.555    4.044
73    0.554    4.037
74    0.553    4.024
75    0.553    4.019
76    0.553    4.015
77    0.552    4.005
78    0.552    3.998
79    0.551    3.988
80    0.551    3.98
81    0.55    3.977
82    0.55    3.965
83    0.549    3.964
84    0.549    3.956
85    0.548    3.951
86    0.548    3.937
87    0.547    3.932
88    0.547    3.928
89    0.546    3.919
90    0.546    3.912
91    0.545    3.908
92    0.545    3.89
93    0.545    3.889
94    0.544    3.884
95    0.544    3.876
96    0.543    3.869
97    0.543    3.867
98    0.542    3.86
99    0.542    3.856
100    0.541    3.85
101    0.541    3.841
102    0.54    3.827
103    0.54    3.824
104    0.539    3.821
105    0.538    3.815
106    0.538    3.806
107    0.537    3.8
108    0.536    3.791
109    0.536    3.787
110    0.536    3.784
111    0.535    3.774
112    0.535    3.77
113    0.534    3.767
114    0.534    3.756
115    0.533    3.749
116    0.533    3.748
117    0.532    3.74
118    0.532    3.739
119    0.531    3.738
120    0.531    3.727
121    0.531    3.72
122    0.53    3.71
123    0.53    3.706
124    0.53    3.705
125    0.53    3.703
126    0.529    3.696
127    0.529    3.693
128    0.528    3.691
129    0.527    3.69
130    0.527    3.681
131    0.527    3.675
132    0.526    3.672
133    0.525    3.667
134    0.525    3.663
135    0.524    3.655
136    0.524    3.651
137    0.523    3.65
138    0.523    3.648
139    0.522    3.641
140    0.522    3.639
141    0.521    3.635
142    0.521    3.63
143    0.52    3.623
144    0.519    3.618
145    0.519    3.612
146    0.519    3.609
147    0.518    3.607
148    0.518    3.603
149    0.517    3.599
150    0.517    3.599
151    0.517    3.597
152    0.517    3.595
153    0.516    3.591
154    0.516    3.585
155    0.515    3.581
156    0.515    3.575
157    0.515    3.565
158    0.514    3.564
159    0.513    3.563
160    0.513    3.556
161    0.512    3.554
162    0.512    3.551
163    0.511    3.546
164    0.511    3.543
165    0.51    3.54
166    0.51    3.536
167    0.51    3.53
168    0.509    3.529
169    0.509    3.525
170    0.508    3.521
171    0.508    3.515
172    0.507    3.511
173    0.507    3.501
174    0.507    3.495
175    0.506    3.493
176    0.506    3.49
177    0.506    3.487
178    0.505    3.484
179    0.505    3.483
180    0.504    3.48
181    0.504    3.475
182    0.503    3.47
183    0.503    3.468
184    0.502    3.463
185    0.502    3.461
186    0.502    3.461
187    0.501    3.456
188    0.501    3.453
189    0.501    3.452
190    0.5    3.447
191    0.5    3.444
192    0.499    3.441
193    0.499    3.438
194    0.499    3.433
195    0.498    3.431
196    0.498    3.43
197    0.498    3.43
198    0.497    3.428
199    0.497    3.422
200    0.497    3.417
