no.    acc    apl
0    0.593    6.96
1    0.592    6.692
2    0.591    6.684
3    0.591    6.396
4    0.59    6.286
5    0.59    6.235
6    0.59    6.084
7    0.589    5.993
8    0.588    5.833
9    0.588    5.709
10    0.588    5.709
11    0.588    5.709
12    0.588    5.592
13    0.588    5.592
14    0.588    5.592
15    0.587    5.465
16    0.586    5.407
17    0.586    5.38
18    0.586    5.353
19    0.586    5.353
20    0.585    5.24
21    0.585    5.24
22    0.585    5.196
23    0.585    5.196
24    0.585    5.155
25    0.585    5.142
26    0.585    5.142
27    0.585    5.142
28    0.584    4.973
29    0.584    4.614
30    0.584    4.594
31    0.584    4.594
32    0.584    4.539
33    0.583    4.49
34    0.583    4.49
35    0.583    4.448
36    0.583    4.41
37    0.583    4.41
38    0.583    4.41
39    0.583    4.41
40    0.583    4.41
41    0.583    4.405
42    0.583    4.312
43    0.582    4.272
44    0.582    4.265
45    0.582    4.238
46    0.582    4.23
47    0.582    4.219
48    0.582    4.219
49    0.582    4.207
50    0.582    4.207
51    0.582    4.203
52    0.582    4.198
53    0.582    4.198
54    0.582    4.183
55    0.582    4.183
56    0.582    4.183
57    0.581    4.179
58    0.581    4.136
59    0.581    4.103
60    0.581    4.099
61    0.581    4.095
62    0.581    4.017
63    0.58    3.959
64    0.58    3.924
65    0.58    3.914
66    0.58    3.91
67    0.58    3.899
68    0.58    3.888
69    0.58    3.88
70    0.58    3.865
71    0.58    3.862
72    0.58    3.862
73    0.58    3.858
74    0.58    3.858
75    0.58    3.853
76    0.58    3.849
77    0.58    3.846
78    0.58    3.846
79    0.58    3.846
80    0.58    3.842
81    0.579    3.837
82    0.579    3.833
83    0.579    3.803
84    0.579    3.799
85    0.579    3.799
86    0.579    3.795
87    0.579    3.787
88    0.579    3.783
89    0.579    3.779
90    0.579    3.775
91    0.578    3.771
92    0.578    3.762
93    0.578    3.758
94    0.578    3.747
95    0.578    3.743
96    0.578    3.743
97    0.578    3.743
98    0.578    3.729
99    0.578    3.707
100    0.578    3.707
101    0.578    3.703
102    0.578    3.694
103    0.578    3.69
104    0.578    3.686
105    0.578    3.661
106    0.577    3.644
107    0.577    3.644
108    0.577    3.615
109    0.577    3.611
110    0.577    3.607
111    0.577    3.607
112    0.577    3.603
113    0.577    3.587
114    0.577    3.578
115    0.577    3.574
116    0.576    3.518
117    0.576    3.518
118    0.576    3.493
119    0.576    3.493
120    0.576    3.493
121    0.576    3.489
122    0.576    3.489
123    0.576    3.475
124    0.575    3.463
125    0.575    3.431
126    0.575    3.424
127    0.575    3.424
128    0.575    3.419
129    0.575    3.415
130    0.575    3.411
131    0.575    3.411
132    0.575    3.407
133    0.575    3.402
134    0.575    3.385
135    0.575    3.385
136    0.575    3.376
137    0.575    3.376
138    0.574    3.367
139    0.575    3.356
140    0.574    3.327
141    0.574    3.327
142    0.574    3.323
143    0.574    3.318
144    0.574    3.314
145    0.574    3.31
146    0.574    3.31
147    0.574    3.306
148    0.574    3.306
149    0.574    3.301
150    0.574    3.282
151    0.574    3.277
152    0.574    3.277
153    0.574    3.273
154    0.574    3.273
155    0.574    3.264
156    0.574    3.26
157    0.574    3.256
158    0.573    3.243
159    0.574    3.239
160    0.573    3.234
161    0.573    3.23
162    0.573    3.226
163    0.574    3.222
164    0.574    3.218
165    0.574    3.213
166    0.574    3.213
167    0.574    3.213
168    0.574    3.209
169    0.574    3.209
170    0.574    3.209
171    0.574    3.205
172    0.574    3.201
173    0.574    3.201
174    0.574    3.196
175    0.574    3.192
176    0.575    3.187
177    0.575    3.183
178    0.575    3.179
179    0.575    3.179
180    0.575    3.179
181    0.575    3.175
182    0.575    3.17
183    0.575    3.166
184    0.575    3.161
185    0.575    3.161
186    0.575    3.157
187    0.575    3.153
188    0.575    3.153
189    0.575    3.149
190    0.575    3.145
191    0.575    3.14
192    0.575    3.128
193    0.575    3.128
194    0.575    3.124
195    0.575    3.12
196    0.575    3.12
197    0.575    3.115
198    0.575    3.111
199    0.575    3.106
200    0.575    3.102
