no.    acc    apl
0    0.593    6.96
1    0.592    6.697
2    0.591    6.463
3    0.59    6.298
4    0.59    6.044
5    0.59    5.949
6    0.589    5.901
7    0.589    5.834
8    0.589    5.782
9    0.588    5.665
10    0.588    5.635
11    0.588    5.595
12    0.588    5.295
13    0.587    4.96
14    0.587    4.781
15    0.587    4.696
16    0.587    4.638
17    0.586    4.589
18    0.586    4.565
19    0.586    4.506
20    0.586    4.506
21    0.586    4.431
22    0.586    4.331
23    0.586    4.299
24    0.585    4.283
25    0.585    4.272
26    0.585    4.237
27    0.585    4.237
28    0.585    4.21
29    0.584    4.195
30    0.584    4.187
31    0.584    4.144
32    0.584    4.14
33    0.583    4.105
34    0.583    4.101
35    0.583    4.087
36    0.583    4.054
37    0.582    4.05
38    0.582    3.999
39    0.582    3.985
40    0.582    3.985
41    0.582    3.985
42    0.582    3.981
43    0.582    3.962
44    0.582    3.962
45    0.582    3.958
46    0.582    3.958
47    0.581    3.94
48    0.581    3.929
49    0.581    3.925
50    0.581    3.909
51    0.581    3.909
52    0.581    3.905
53    0.581    3.866
54    0.581    3.866
55    0.581    3.85
56    0.581    3.843
57    0.581    3.843
58    0.581    3.839
59    0.58    3.83
60    0.58    3.83
61    0.58    3.825
62    0.58    3.808
63    0.58    3.797
64    0.58    3.793
65    0.58    3.789
66    0.58    3.776
67    0.58    3.776
68    0.58    3.758
69    0.58    3.758
70    0.58    3.753
71    0.58    3.753
72    0.58    3.743
73    0.58    3.743
74    0.58    3.739
75    0.58    3.739
76    0.58    3.739
77    0.58    3.739
78    0.58    3.739
79    0.58    3.739
80    0.58    3.723
81    0.58    3.719
82    0.58    3.719
83    0.579    3.698
84    0.579    3.694
85    0.579    3.686
86    0.579    3.678
87    0.579    3.643
88    0.579    3.63
89    0.579    3.618
90    0.579    3.614
91    0.579    3.614
92    0.579    3.605
93    0.579    3.605
94    0.579    3.601
95    0.578    3.584
96    0.579    3.579
97    0.578    3.575
98    0.578    3.545
99    0.578    3.541
100    0.578    3.537
101    0.578    3.537
102    0.578    3.533
103    0.578    3.528
104    0.578    3.52
105    0.578    3.512
106    0.578    3.512
107    0.578    3.508
108    0.578    3.504
109    0.578    3.5
110    0.577    3.472
111    0.578    3.467
112    0.578    3.467
113    0.578    3.463
114    0.578    3.463
115    0.578    3.463
116    0.578    3.463
117    0.578    3.463
118    0.578    3.459
119    0.578    3.459
120    0.578    3.459
121    0.578    3.455
122    0.577    3.45
123    0.577    3.45
124    0.577    3.45
125    0.577    3.45
126    0.577    3.45
127    0.577    3.446
128    0.577    3.442
129    0.577    3.442
130    0.578    3.438
131    0.578    3.438
132    0.578    3.438
133    0.578    3.438
134    0.578    3.438
135    0.578    3.433
136    0.578    3.433
137    0.578    3.433
138    0.577    3.429
139    0.577    3.429
140    0.577    3.429
141    0.577    3.424
142    0.577    3.42
143    0.577    3.42
144    0.578    3.416
145    0.578    3.416
146    0.577    3.412
147    0.577    3.391
148    0.577    3.382
149    0.577    3.378
150    0.577    3.374
151    0.577    3.374
152    0.577    3.369
153    0.577    3.369
154    0.577    3.365
155    0.577    3.361
156    0.577    3.361
157    0.577    3.361
158    0.577    3.356
159    0.577    3.345
160    0.576    3.319
161    0.576    3.315
162    0.576    3.31
163    0.576    3.31
164    0.576    3.306
165    0.576    3.285
166    0.576    3.28
167    0.576    3.276
168    0.576    3.272
169    0.576    3.272
170    0.577    3.267
171    0.577    3.267
172    0.577    3.263
173    0.577    3.258
174    0.577    3.258
175    0.577    3.247
176    0.577    3.242
177    0.578    3.238
178    0.577    3.222
179    0.577    3.218
180    0.578    3.214
181    0.577    3.197
182    0.577    3.197
183    0.578    3.192
184    0.578    3.188
185    0.578    3.188
186    0.578    3.188
187    0.578    3.188
188    0.578    3.183
189    0.578    3.175
190    0.578    3.175
191    0.578    3.175
192    0.578    3.171
193    0.578    3.171
194    0.578    3.171
195    0.578    3.171
196    0.578    3.167
197    0.578    3.167
198    0.578    3.167
199    0.578    3.162
200    0.578    3.158
